event_id,voice_id,role,parent_event_id,source_index,source_label,symbol,onset_quarter,duration_quarter,midi,pitch_class,velocity,pan,timbre,expected_pc,row_position,row_form,status,mapping_rule,codec_block,is_codec_carrier,gate_ratio,articulation,cc1_modulation,cc10_pan,cc74_brightness,cc91_reverb,cc93_chorus,brightness,reverb_mix,spatial_width,hydropathy,charge,contact_degree,value,uncertainty,relative_sasa,surface_wetness,backbone_rigidity,b_factor_normalized,sidechain_mass_normalized
0,V1_melody,foreground_melody,,0,cell_A,CELL,0.0,1.5,65,5,86,-0.12,clarinet,5,,,retained,transcriptomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.5746,0.0,0.5,0.5746,0.0,0.0,0.0,0.0,0.0,0.0
1,V3_bass,structural_bass,0,0,cell_A,CELL,0.0,8.0,48,0,70,-0.18,cello,0,,,retained,序列/样本分组边界→持续低音；组值决定主音或属音,,False,0.9,normal,,52,,,,0.72,0.15,0.3,0.5746,0.0,0.5,0.5746,0.0,0.0,0.0,0.0,0.0,0.0
2,V4_horn_harmony,structural_harmony,0,0,cell_A,CELL,0.0,8.0,60,0,64,-0.42,french_horn,0,,,retained,结构/功能区块→圆号持续和声；接触度→音区张力,,False,0.9,normal,,37,,,,0.72,0.15,0.3,0.5746,0.0,0.5,0.5746,0.0,0.0,0.0,0.0,0.0,0.0
3,V5_viola_harmony,inner_harmony,0,0,cell_A,CELL,0.0,8.0,63,3,59,0.42,viola,3,,,retained,与圆号区块同步的中声部；理化特征控制三度色彩与音区,,False,0.9,normal,,90,,,,0.72,0.15,0.3,0.5746,0.0,0.5,0.5746,0.0,0.0,0.0,0.0,0.0,0.0
4,V6_harp_accents,structural_accent,0,0,cell_A,CELL,0.0,0.25,77,5,81,0.08,orchestral_harp,5,,,retained,结构边界、接触峰或高显著性位置→竖琴三音结构标记,,False,0.9,normal,,69,,,,0.72,0.15,0.3,0.5746,0.0,0.5,0.5746,0.0,0.0,0.0,0.0,0.0,0.0
5,V6_harp_accents,structural_accent,0,0,cell_A,CELL,0.25,0.25,80,8,76,0.26,orchestral_harp,8,,,retained,结构边界、接触峰或高显著性位置→竖琴三音结构标记,,False,0.9,normal,,80,,,,0.72,0.15,0.3,0.5746,0.0,0.5,0.5746,0.0,0.0,0.0,0.0,0.0,0.0
6,V6_harp_accents,structural_accent,0,0,cell_A,CELL,0.5,0.25,84,0,71,0.44,orchestral_harp,0,,,retained,结构边界、接触峰或高显著性位置→竖琴三音结构标记,,False,0.9,normal,,91,,,,0.72,0.15,0.3,0.5746,0.0,0.5,0.5746,0.0,0.0,0.0,0.0,0.0,0.0
7,V1_melody,foreground_melody,,1,cell_B,CELL,1.5,1.5,62,2,34,-0.12,clarinet,2,,,retained,transcriptomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0974,0.0,0.5,0.0974,0.0,0.0,0.0,0.0,0.0,0.0
8,V2_counterpoint,derived_counterpoint,7,1,cell_B,CELL,2.0,1.5,71,11,22,0.25,violin,11,,,retained,由同一生物事件延迟派生；小/大三度与反向音区形成可辨识对位,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.0974,0.0,0.5,0.0974,0.0,0.0,0.0,0.0,0.0,0.0
9,V1_melody,foreground_melody,,2,cell_C,CELL,3.0,1.5,70,10,115,-0.12,clarinet,10,,,retained,transcriptomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,V6_harp_accents,structural_accent,9,2,cell_C,CELL,3.0,0.25,70,10,110,0.08,orchestral_harp,10,,,retained,结构边界、接触峰或高显著性位置→竖琴三音结构标记,,False,0.9,normal,,69,,,,0.72,0.15,0.3,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,V6_harp_accents,structural_accent,9,2,cell_C,CELL,3.25,0.25,73,1,105,0.26,orchestral_harp,1,,,retained,结构边界、接触峰或高显著性位置→竖琴三音结构标记,,False,0.9,normal,,80,,,,0.72,0.15,0.3,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,V6_harp_accents,structural_accent,9,2,cell_C,CELL,3.5,0.25,77,5,100,0.44,orchestral_harp,5,,,retained,结构边界、接触峰或高显著性位置→竖琴三音结构标记,,False,0.9,normal,,91,,,,0.72,0.15,0.3,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,V1_melody,foreground_melody,,3,cell_D,CELL,4.5,1.5,60,0,40,-0.12,clarinet,0,,,retained,transcriptomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,V2_counterpoint,derived_counterpoint,13,3,cell_D,CELL,5.0,1.5,80,8,28,0.25,violin,8,,,retained,由同一生物事件延迟派生；小/大三度与反向音区形成可辨识对位,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,V1_melody,foreground_melody,,4,cell_E,CELL,6.0,0.5,69,9,108,-0.12,clarinet,9,,,retained,transcriptomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.8926,0.0,0.5,0.8926,0.0,0.0,0.0,0.0,0.0,0.0
16,V1_melody,foreground_melody,,5,cell_F,CELL,6.5,1.5,60,0,25,-0.12,clarinet,0,,,retained,transcriptomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.0179,0.0,0.5,0.0179,0.0,0.0,0.0,0.0,0.0,0.0
17,V2_counterpoint,derived_counterpoint,16,5,cell_F,CELL,7.0,1.0,69,9,13,0.25,violin,9,,,retained,由同一生物事件延迟派生；小/大三度与反向音区形成可辨识对位,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.0179,0.0,0.5,0.0179,0.0,0.0,0.0,0.0,0.0,0.0
